neuron_i,neuron_label,area,ramp_type,onset_ms
3282,M060118_078_2,45,Negative,521.0
3286,M060118_090_3,45,Positive,640.0
3287,M060118_091_3,44,Negative,540.0
3291,M060118_101_2,46v,Negative,567.0
3296,M060118_109_4,8B,Negative,0.0
3301,M060118_119_4,pu,Negative,290.0
3320,M060418_005_2,11ml,Positive,0.0
3321,M060418_005_3,11ml,Positive,539.0
3323,M060418_007_2,11ml,Positive,328.0
3341,M060418_036_2,45,Positive,461.0
3351,M060418_072_4,46d,Negative,168.0
3356,M060418_090_2,45,Positive,674.0
3358,M060418_091_3,44,Positive,667.0
3359,M060418_091_5,44,Positive,270.0
3360,M060418_097_2,8B,Positive,442.0
3361,M060418_097_4,8B,Positive,371.0
3369,M060418_116_2,6DC,Negative,0.0
3370,M060418_119_3,pu,Negative,20.0
3371,M060418_119_5,pu,Negative,331.0
3385,M060418_152_3,6DC,Positive,603.0
3386,M060418_152_4,6DC,Positive,383.0
3390,M060518_007_1,11ml,Positive,474.0
3392,M060518_012_3,12r,Negative,313.0
3393,M060518_013_2,11ml,Positive,557.0
3397,M060518_017_4,12l,Positive,92.0
3405,M060518_036_1,45,Positive,287.0
3414,M060518_078_1,45,Negative,124.0
3418,M060518_090_3,45,Positive,604.0
3419,M060518_091_3,44,Positive,604.0
3420,M060518_091_4,44,Positive,431.0
3421,M060518_097_3,8B,Positive,421.0
3430,M060518_116_3,6DC,Negative,128.0
3431,M060518_119_1,pu,Negative,234.0
3432,M060518_119_5,pu,Negative,340.0
3434,M060518_133_4,6DR,Negative,0.0
3439,M060518_138_1,6DC,Negative,456.0
3440,M060518_146_1,6DC,Positive,0.0
3447,M060518_152_3,6DC,Positive,543.0
3449,M060518_152_8,6DC,Positive,503.0
3459,M060618_013_3,11ml,Positive,605.0
3468,M060618_036_2,45,Positive,327.0
3469,M060618_045_1,45,Positive,503.0
3482,M060618_090_3,45,Positive,637.0
3483,M060618_091_1,44,Positive,0.0
3484,M060618_091_4,44,Positive,253.0
3490,M060618_101_4,46v,Negative,0.0
3502,M060618_116_2,6DC,Negative,193.0
3505,M060618_118_3,pu,Negative,218.0
3506,M060618_119_1,pu,Negative,451.0
3507,M060618_119_7,pu,Negative,0.0
3519,M060618_147_4,6DC,Negative,168.0
3532,M060718_013_3,11ml,Positive,617.0
3540,M060718_036_3,45,Positive,468.0
3542,M060718_054_3,13m,Negative,608.0
3549,M060718_090_3,45,Positive,602.0
3550,M060718_091_1,44,Positive,598.0
3551,M060718_091_3,44,Positive,452.0
3555,M060718_101_4,46v,Negative,54.0
3566,M060718_116_4,6DC,Negative,129.0
3571,M060718_133_3,6DR,Negative,553.0
3573,M060718_136_2,24c,Negative,88.0
3574,M060718_136_4,24c,Negative,579.0
3575,M060718_138_1,6DC,Negative,573.0
3577,M060718_144_1,6DC,Negative,144.0
3578,M060718_144_2,6DC,Positive,198.0
3580,M060718_146_1,6DC,Positive,287.0
3590,M060818_005_2,11ml,Positive,649.0
3591,M060818_005_3,11ml,Negative,8.0
3596,M060818_012_3,12r,Negative,112.0
3597,M060818_013_3,11ml,Positive,668.0
3608,M060818_036_1,45,Positive,447.0
3612,M060818_061_3,13l,Negative,0.0
3618,M060818_090_2,45,Positive,648.0
3620,M060818_091_4,44,Positive,395.0
3621,M060818_097_3,8B,Negative,680.0
3624,M060818_101_2,46v,Negative,347.0
3625,M060818_101_3,46v,Negative,363.0
3636,M060818_116_3,6DC,Negative,133.0
3637,M060818_118_2,pu,Negative,452.0
3653,M060818_147_1,6DC,Negative,0.0
3671,M061118_017_2,12l,Positive,457.0
3677,M061118_036_3,45,Positive,277.0
3680,M061118_054_2,13m,Positive,551.0
3681,M061118_060_3,13l,Positive,606.0
3688,M061118_090_3,45,Positive,608.0
3689,M061118_091_3,44,Positive,395.0
3693,M061118_097_4,8B,Positive,24.0
3694,M061118_100_3,24c,Negative,0.0
3696,M061118_101_2,46v,Negative,72.0
3697,M061118_104_3,6VaVb,Negative,605.0
3698,M061118_104_4,6VaVb,Positive,272.0
3722,M061218_012_2,12r,Negative,446.0
3726,M061218_017_5,12l,Positive,617.0
3735,M061218_054_2,13m,Positive,205.0
3737,M061218_066_3,45,Positive,666.0
3740,M061218_072_2,46d,Positive,669.0
3742,M061218_072_6,46d,Positive,102.0
3743,M061218_077_3,AI,Negative,179.0
3745,M061218_090_3,45,Positive,619.0
3746,M061218_091_3,44,Positive,598.0
3747,M061218_097_3,8B,Positive,136.0
3748,M061218_100_3,24c,Negative,595.0
3750,M061218_101_5,46v,Negative,683.0
3751,M061218_104_3,6VaVb,Negative,454.0
3753,M061218_109_2,8B,Negative,290.0
3768,M061318_006_1,11ml,Positive,572.0
3769,M061318_012_2,12r,Negative,399.0
3770,M061318_013_1,11ml,Positive,0.0
3774,M061318_017_5,12l,Positive,117.0
3775,M061318_018_1,12l,Positive,515.0
3784,M061318_054_1,13m,Positive,388.0
3785,M061318_060_3,13l,Positive,164.0
3787,M061318_066_4,45,Positive,193.0
3790,M061318_072_2,46d,Positive,478.0
3793,M061318_090_2,45,Positive,630.0
3796,M061318_097_3,8B,Positive,602.0
3797,M061318_100_1,24c,Negative,608.0
3800,M061318_104_2,6VaVb,Negative,0.0
3810,M061318_136_1,24c,Negative,338.0
3825,M061518_013_3,11ml,Negative,117.0
3826,M061518_017_4,12l,Positive,621.0
3827,M061518_017_5,12l,Positive,594.0
3831,M061518_054_1,13m,Positive,291.0
3838,M061518_078_3,45,Negative,0.0
3840,M061518_090_3,45,Positive,600.0
3842,M061518_093_3,AI,Negative,0.0
3843,M061518_097_3,8B,Positive,0.0
3846,M061518_100_4,24c,Positive,233.0
3849,M061518_104_3,6VaVb,Negative,450.0
3851,M061518_109_3,8B,Negative,304.0
3857,M061518_134_1,6DR,Negative,424.0
3874,M061818_004_3,11ml,Positive,304.0
3875,M061818_005_2,11ml,Positive,678.0
3878,M061818_011_3,46v,Positive,313.0
3882,M061818_013_3,11ml,Negative,301.0
3883,M061818_017_3,12l,Positive,574.0
3884,M061818_017_5,12l,Positive,0.0
3892,M061818_054_2,13m,Positive,361.0
3896,M061818_072_3,46d,Negative,223.0
3899,M061818_077_2,AI,Negative,0.0
3901,M061818_078_3,45,Positive,0.0
3904,M061818_090_3,45,Positive,603.0
3906,M061818_097_3,8B,Positive,0.0
3908,M061818_104_2,6VaVb,Negative,358.0
3915,M061818_138_1,6DC,Positive,643.0
3926,M061818_153_2,cd,Positive,598.0
3934,M061918_017_5,12l,Positive,0.0
3935,M061918_018_3,12l,Positive,290.0
3942,M061918_054_2,13m,Positive,394.0
3943,M061918_064_1,13m,Negative,71.0
3948,M061918_078_3,45,Positive,40.0
3949,M061918_078_5,45,Positive,210.0
3954,M061918_097_3,8B,Positive,553.0
3958,M061918_101_3,46v,Negative,507.0
3983,M062018_017_4,12l,Positive,538.0
3984,M062018_018_2,12l,Positive,669.0
3990,M062018_036_3,45,Negative,531.0
3992,M062018_054_2,13m,Positive,292.0
3996,M062018_072_3,46d,Negative,530.0
3997,M062018_078_3,45,Positive,0.0
3998,M062018_090_2,45,Positive,589.0
4001,M062018_097_2,8B,Positive,184.0
4002,M062018_101_3,46v,Negative,91.0
4014,M062018_146_2,6DC,Negative,450.0
4015,M062018_146_3,6DC,Positive,531.0
4029,M062118_017_3,12l,Positive,558.0
4030,M062118_017_5,12l,Positive,21.0
4040,M062118_054_3,13m,Positive,357.0
4041,M062118_064_1,13m,Negative,543.0
4044,M062118_072_2,46d,Negative,317.0
4045,M062118_078_3,45,Positive,20.0
4049,M062118_097_3,8B,Positive,0.0
4052,M062118_101_2,46v,Negative,685.0
4053,M062118_106_3,6DR,Positive,398.0
4070,M062118_157_2,24c,Negative,0.0
4078,M062218_017_2,12l,Positive,465.0
4080,M062218_017_6,12l,Positive,578.0
4081,M062218_019_3,12m,Negative,113.0
4091,M062218_054_2,13m,Positive,62.0
4094,M062218_064_2,13m,Negative,0.0
4100,M062218_090_3,45,Positive,613.0
4102,M062218_097_3,8B,Positive,0.0
4104,M062218_101_3,46v,Negative,0.0
4105,M062218_104_3,6VaVb,Negative,523.0
4106,M062218_106_2,6DR,Positive,580.0
4122,M062218_152_4,6DC,Positive,295.0
4125,M062618_005_1,11ml,Positive,635.0
4126,M062618_007_2,11ml,Negative,0.0
4130,M062618_017_1,12l,Positive,317.0
4131,M062618_017_4,12l,Positive,262.0
4132,M062618_017_5,12l,Positive,358.0
4138,M062618_033_3,11ml,Negative,0.0
4142,M062618_064_2,13m,Negative,412.0
4148,M062618_072_2,46d,Negative,361.0
4152,M062618_091_2,44,Positive,497.0
4154,M062618_097_2,8B,Positive,730.0
4158,M062618_101_1,46v,Negative,192.0
4168,M062618_144_1,6DC,Positive,0.0
4170,M062618_146_3,6DC,Negative,0.0
4174,M062618_152_1,6DC,Positive,489.0
4175,M062618_152_4,6DC,Negative,312.0
4181,M062718_007_4,11ml,Negative,0.0
4187,M062718_017_3,12l,Positive,357.0
4198,M062718_054_2,13m,Positive,0.0
4205,M062718_077_3,AI,Positive,553.0
4208,M062718_090_3,45,Positive,615.0
4209,M062718_091_2,44,Positive,477.0
4210,M062718_093_1,AI,Negative,243.0
4215,M062718_101_3,46v,Negative,526.0
4218,M062718_106_2,6DR,Positive,342.0
4237,M062718_144_3,6DC,Positive,196.0
4238,M062718_146_1,6DC,Positive,231.0
4242,M062718_152_2,6DC,Positive,475.0
4243,M062718_152_5,6DC,Negative,266.0
4253,M062818_011_3,46v,Positive,0.0
4256,M062818_017_2,12l,Positive,0.0
4258,M062818_017_6,12l,Positive,153.0
4265,M062818_034_2,11ml,Positive,551.0
4269,M062818_054_3,13m,Positive,39.0
4271,M062818_061_2,13l,Negative,557.0
