neuron_i,neuron_label,area,ramp_type,condition,slope,mean_fr
15227,X120419_090_1,8A,Positive,medium,0.002078206652881655,1.0123460832332414
15227,X120419_090_1,8A,Positive,long,0.002238754839119062,1.2794993122088136
15233,X120419_117_2,6DC,Negative,short,-0.0017283228902587307,1.4890726107527532
15233,X120419_117_2,6DC,Negative,medium,-0.002199745408619932,0.5798604207740207
15233,X120419_117_2,6DC,Negative,long,-4.659858024177394e-05,0.5827769752183717
15235,X120419_118_6,6DC,Positive,short,0.0025343231821638047,1.2258501704348352
15235,X120419_118_6,6DC,Positive,medium,0.0017729877188273192,1.396009536332973
15235,X120419_118_6,6DC,Positive,long,0.0031558999581567364,1.660683491860769
15241,X120419_142_3,6DC,Positive,short,0.004267442016252407,0.11180642100160294
15241,X120419_142_3,6DC,Positive,medium,0.004536382839849352,0.27040499971463605
15241,X120419_142_3,6DC,Positive,long,0.004609748714063675,0.41431713855814517
15252,X120420_056_3,12l,Positive,short,0.0019088064069586676,-1.2002993951026295
15252,X120420_056_3,12l,Positive,medium,0.0027010919915139925,0.2858252040546699
15252,X120420_056_3,12l,Positive,long,0.0029791840555015475,1.757987670240902
15257,X120420_085_6,cd,Positive,short,0.0009996516970861141,-0.6280866526129242
15257,X120420_085_6,cd,Positive,medium,0.0006322767095753186,-0.42738374336289486
15257,X120420_085_6,cd,Positive,long,0.0002929969798121169,-0.3111856478869221
15258,X120420_086_4,8B,Negative,short,-0.0012414204911691694,0.93540138154974
15258,X120420_086_4,8B,Negative,medium,-0.0013835701307301797,0.12019050959705921
15258,X120420_086_4,8B,Negative,long,-0.0011638754622495325,-0.2567572566526035
15260,X120420_093_4,44,Positive,short,0.002022977358054469,0.7234744921642082
15260,X120420_093_4,44,Positive,medium,0.0026587373472727084,1.7592489604346961
15260,X120420_093_4,44,Positive,long,-8.733917814507973e-05,2.0856110994113664
15261,X120420_093_5,44,Positive,short,0.0026438852628560975,-0.01783038555147024
15261,X120420_093_5,44,Positive,medium,0.004009251654221548,0.6495750675927235
15261,X120420_093_5,44,Positive,long,0.0028666609761214784,1.1371424707666213
15266,X120420_102_5,6VaVb,Negative,short,-0.0017612099634091245,0.7552504184688387
15266,X120420_102_5,6VaVb,Negative,medium,-0.002015715444835186,-0.2621435498417403
15266,X120420_102_5,6VaVb,Negative,long,-0.0015284038607153167,-0.49447547839629075
15269,X120420_107_3,AMG,Negative,short,-0.0007838613885707635,0.14585513204294326
15269,X120420_107_3,AMG,Negative,medium,-0.0003655144726565294,-0.3018364457974517
15269,X120420_107_3,AMG,Negative,long,-0.000582359577834037,-0.4165053033888241
15293,X120519_097_3,6DR,Positive,short,0.003997340662314833,0.6080134134598622
15293,X120519_097_3,6DR,Positive,medium,0.004092852485234516,0.5344432850696453
15293,X120519_097_3,6DR,Positive,long,0.005223948319876829,1.362590256339627
15297,X120519_112_3,6DR,Positive,short,0.001991770935928782,0.49607002632427083
15297,X120519_112_3,6DR,Positive,medium,0.00206572007471422,1.3099029588818352
15297,X120519_112_3,6DR,Positive,long,0.0011546495076685472,2.041138835238934
15299,X120519_121_3,6DC,Negative,short,-0.003486388557641082,0.12473115791201927
15299,X120519_121_3,6DC,Negative,medium,-0.0013919609159373906,0.19043451659970245
15299,X120519_121_3,6DC,Negative,long,-0.0004207472488105612,-0.39613571088236543
15306,X120519_141_3,6DC,Positive,short,0.0015696748643357686,-0.3126998666081943
15306,X120519_141_3,6DC,Positive,medium,0.0015935413791455873,0.19956311269256632
15306,X120519_141_3,6DC,Positive,long,0.0017246869014325146,0.6457641879695653
15315,X120619_019_3,46v,Negative,short,-0.0017157210429975798,-0.4199495679513317
15315,X120619_019_3,46v,Negative,medium,-0.0017014294002055189,-0.342764828367171
15315,X120619_019_3,46v,Negative,long,-0.0011277406799476998,-0.8000655993447328
15318,X120619_027_2,12l,Negative,short,-0.00187005252285711,-0.12733326374395323
15318,X120619_027_2,12l,Negative,medium,-0.0015626942754452763,-1.1012858906621346
15318,X120619_027_2,12l,Negative,long,0.0004541011732235257,-1.8653268131757537
15324,X120619_045_2,12l,Positive,short,0.002978615748783231,-0.13081993359201488
15324,X120619_045_2,12l,Positive,medium,0.00321060483125238,-0.2690295421854653
15324,X120619_045_2,12l,Positive,long,0.001718395119812603,-0.2619825877257376
15326,X120619_046_1,12l,Positive,short,0.002110540258287017,0.5054633014005595
15326,X120619_046_1,12l,Positive,medium,0.00135178361826481,1.5091048007995238
15326,X120619_046_1,12l,Positive,long,0.0005897239702434441,2.2193636134539587
15331,X120619_066_2,8A,Negative,short,-0.00226521943615155,1.1611042222544279
15331,X120619_066_2,8A,Negative,medium,-0.004291387115508874,0.29292468308091874
15331,X120619_066_2,8A,Negative,long,-0.0001668402738913466,-0.8592297195297312
15333,X120619_069_5,46v,Negative,short,-0.0021812228532600885,0.08117831518607037
15333,X120619_069_5,46v,Negative,medium,-0.0007201222390060705,-0.2721371523538454
15333,X120619_069_5,46v,Negative,long,-0.0006032077421908176,-0.30151373327938497
15343,X120619_127_3,6VaVb,Negative,short,-0.00399982322351823,-0.2665694164551528
15343,X120619_127_3,6VaVb,Negative,medium,-0.0023154585891967316,-0.8499267295540656
15343,X120619_127_3,6VaVb,Negative,long,-0.0010010462966572188,-1.0923622824536783
15346,X120619_133_3,6DC,Positive,short,0.0013434420409418272,0.10286255223082283
15346,X120619_133_3,6DC,Positive,medium,0.0031987898587530752,0.9524360243814785
15346,X120619_133_3,6DC,Positive,long,0.0005445314775545802,1.771408072228043
15349,X120619_141_2,6DC,Positive,short,-0.0001465232152311907,-0.4093018019054327
15349,X120619_141_2,6DC,Positive,medium,0.0011411094167463136,0.35301970635438507
15349,X120619_141_2,6DC,Positive,long,0.0029906601452657634,0.6139817895480476
15352,X120619_144_3,6DC,Positive,short,0.0024279744598737297,-0.8249732164221315
15352,X120619_144_3,6DC,Positive,medium,0.0005436835136543595,-0.6381668041939824
15352,X120619_144_3,6DC,Positive,long,0.0010979310599694202,-0.6381397136332976
15354,X120720_004_1,12m,Positive,short,0.0030459939330742254,-0.1025731387769357
15354,X120720_004_1,12m,Positive,medium,0.002137250503773913,-0.02480059649896794
15354,X120720_004_1,12m,Positive,long,0.0020950088773610655,0.42361549244567553
15359,X120720_023_3,11ml,Negative,short,-0.002217625912891104,-0.5881645885327546
15359,X120720_023_3,11ml,Negative,medium,-0.0023958601828390504,-1.714850293023019
15359,X120720_023_3,11ml,Negative,long,-0.0008961169545436586,-2.4325283581325894
15373,X120720_050_3,13l,Negative,short,-0.002406110042623086,-0.6227099799644822
15373,X120720_050_3,13l,Negative,medium,-0.000988474782787369,-0.9724310285438119
15373,X120720_050_3,13l,Negative,long,-0.001154810795855936,-1.1109556071770172
15382,X120720_085_6,cd,Positive,short,0.0007092889381586086,-0.62180722915194
15382,X120720_085_6,cd,Positive,medium,0.000709878045469671,-0.4626124221304689
15382,X120720_085_6,cd,Positive,long,0.0003528258404813352,-0.3378057732756642
15396,X120720_138_4,AMG,Positive,short,0.004767924792802441,0.4612821331212821
15396,X120720_138_4,AMG,Positive,medium,0.004858762974302836,0.5893867431191445
15396,X120720_138_4,AMG,Positive,long,0.005100633909414666,0.8116097094418679
15403,X120820_004_3,12m,Positive,short,0.003275004407048345,-0.030598279613669895
15403,X120820_004_3,12m,Positive,medium,0.003783173039460941,0.12042625677798403
15403,X120820_004_3,12m,Positive,long,0.001962858090419991,0.570750871764654
15407,X120820_030_3,13l,Negative,short,-0.0012909813302178692,0.7665898995537903
15407,X120820_030_3,13l,Negative,medium,-0.0017329999256340198,0.2695663985393371
15407,X120820_030_3,13l,Negative,long,-0.0019118570177222706,-0.2581695366244819
15408,X120820_031_3,13l,Positive,short,0.002911738235115779,-0.12684170778038076
15408,X120820_031_3,13l,Positive,medium,0.0014564356455271557,-0.19971646230282167
15408,X120820_031_3,13l,Positive,long,0.0017658402111519745,0.28646461111364596
15409,X120820_031_4,13l,Positive,short,0.002887711392359632,0.264705313191619
15409,X120820_031_4,13l,Positive,medium,0.002247183213849512,0.5197860830322526
15409,X120820_031_4,13l,Positive,long,0.002769016897289709,1.1417138564606475
15415,X120820_047_3,12o,Negative,short,-0.002386785373762979,0.24483434283004116
15415,X120820_047_3,12o,Negative,medium,-0.003963121054846498,0.3343965835705052
15415,X120820_047_3,12o,Negative,long,-0.0027390802283236673,-0.16492594384817647
15417,X120820_050_3,13l,Negative,short,-0.003734102216386045,-0.05983363833207135
15417,X120820_050_3,13l,Negative,medium,-0.002906930119022197,-0.8650660222319645
15417,X120820_050_3,13l,Negative,long,-0.0017160693435803235,-1.2933242130596903
15421,X120820_067_2,12o,Negative,short,-0.0021714458620997606,-0.7484594753504841
15421,X120820_067_2,12o,Negative,medium,-0.0027767831500497926,-1.152413087755987
